Date, Open, High, Low, Close
05/23/25, 41525.70, 41788.61, 41354.09, 41603.07
05/22/25, 41763.68, 42090.42, 41714.43, 41859.09
05/21/25, 42354.46, 42439.27, 41785.22, 41860.44
05/20/25, 42735.11, 42800.04, 42485.37, 42677.24
05/19/25, 42542.81, 42842.04, 42337.71, 42792.07
05/16/25, 42356.20, 42663.68, 42232.56, 42654.74
05/15/25, 41777.98, 42351.42, 41777.98, 42322.75
05/14/25, 42150.09, 42254.75, 41952.86, 42051.06
05/13/25, 42507.33, 42507.33, 42132.04, 42140.43
05/12/25, 41899.05, 42418.05, 41899.05, 42410.10
05/09/25, 41405.48, 41512.43, 41150.73, 41249.38
05/08/25, 41312.57, 41773.22, 41167.76, 41368.45
05/07/25, 40956.08, 41266.91, 40829.29, 41113.97
05/06/25, 41000.19, 41164.33, 40759.41, 40829.00
05/05/25, 41173.38, 41445.91, 41063.44, 41218.83
05/02/25, 40960.42, 41386.19, 40960.42, 41317.43
05/01/25, 40918.04, 41099.52, 40705.63, 40752.96
04/30/25, 40290.41, 40777.16, 39745.63, 40669.36
04/29/25, 40233.98, 40630.49, 40222.18, 40527.62
04/28/25, 40171.74, 40414.18, 39869.10, 40227.59
04/25/25, 40045.73, 40137.31, 39718.68, 40113.50
04/24/25, 39531.05, 40157.91, 39371.87, 40093.40
04/23/25, 39815.01, 40376.11, 39487.14, 39606.57
04/22/25, 38516.23, 39272.03, 38516.23, 39186.98
04/21/25, 38906.04, 38906.04, 37830.66, 38170.41
04/17/25, 39745.58, 39745.58, 38950.31, 39142.23
04/16/25, 40179.49, 40416.80, 39394.75, 39669.39
04/15/25, 40527.82, 40791.18, 40346.94, 40368.96
04/14/25, 40546.15, 40778.29, 40159.02, 40524.79
04/11/25, 39493.42, 40404.27, 39255.21, 40212.71
04/10/25, 39996.93, 39996.93, 38427.70, 39593.66
04/09/25, 37387.91, 40778.70, 37275.69, 40608.45
04/08/25, 38827.10, 39426.60, 37103.86, 37645.59
04/07/25, 37879.65, 39207.02, 36611.78, 37965.60
04/04/25, 40097.90, 40097.90, 38264.87, 38314.86
04/03/25, 40986.52, 41173.62, 40513.11, 40545.93
04/02/25, 41736.08, 42382.27, 41629.70, 42225.32
04/01/25, 41879.75, 42140.66, 41519.90, 41989.96
03/31/25, 41382.52, 42147.38, 41148.13, 42001.76
03/28/25, 42245.82, 42258.15, 41530.00, 41583.90
03/27/25, 42432.96, 42523.84, 42142.19, 42299.70
03/26/25, 42655.85, 42821.83, 42326.67, 42454.79
03/25/25, 42635.54, 42696.61, 42441.83, 42587.50
03/24/25, 42180.14, 42638.85, 42180.14, 42583.32
03/21/25, 41763.40, 42011.40, 41433.86, 41985.35
03/20/25, 41795.26, 42250.29, 41695.61, 41953.32
03/19/25, 41613.19, 42178.41, 41613.19, 41964.63
03/18/25, 41772.91, 41787.25, 41415.43, 41581.31
03/17/25, 41460.22, 42013.10, 41412.75, 41841.63
03/14/25, 41057.57, 41528.11, 40929.54, 41488.19
03/13/25, 41280.05, 41360.12, 40661.77, 40813.57
03/12/25, 41577.50, 41721.36, 41010.24, 41350.93
03/11/25, 41837.95, 41868.27, 41175.37, 41433.48
03/10/25, 42507.65, 42541.36, 41612.92, 41911.71
03/07/25, 42503.07, 42898.68, 42175.62, 42801.72
03/06/25, 42848.49, 42970.49, 42381.56, 42579.08
03/05/25, 42518.37, 43135.92, 42418.73, 43006.59
03/04/25, 43040.30, 43084.00, 42347.75, 42520.99
03/03/25, 43900.49, 44033.78, 42919.31, 43191.24
02/28/25, 43259.84, 43873.55, 43100.87, 43840.91
02/27/25, 43516.44, 43884.19, 43224.53, 43239.50
02/26/25, 43635.42, 43866.50, 43318.93, 43433.12
02/25/25, 43509.74, 43767.74, 43282.98, 43621.16
